6677 東証JQS (株)エスケーエレクトロニクス（電気機器）,,,,,
datetime,open,high,low,close,volume
"2020-01-06","1961","1961","1909","1931","77500","1931"
"2020-01-07","1931","1965","1921","1944","45200","1944"
"2020-01-08","1944","1944","1868","1899","65400","1899"
"2020-01-09","1954","1985","1931","1976","48600","1976"
"2020-01-10","1980","1985","1952","1975","64600","1975"
"2020-01-14","2001","2029","1980","2010","51100","2010"
"2020-01-15","2029","2035","1989","2028","47400","2028"
"2020-01-16","2035","2043","2003","2010","27300","2010"
"2020-01-17","2012","2028","2000","2012","29000","2012"
"2020-01-20","2012","2040","2005","2037","34900","2037"
"2020-01-21","2035","2035","1995","2030","30600","2030"
"2020-01-22","2007","2056","1996","2040","27100","2040"
"2020-01-23","2012","2041","2010","2029","24800","2029"
"2020-01-24","2016","2031","1977","1993","55800","1993"
"2020-01-27","1938","1955","1921","1921","57200","1921"
"2020-01-28","1902","1931","1870","1927","57800","1927"
"2020-01-29","1934","1934","1890","1905","54500","1905"
"2020-01-30","1897","1906","1810","1834","80500","1834"
"2020-01-31","1840","1879","1820","1862","46800","1862"
"2020-02-03","1785","1838","1785","1820","44000","1820"
"2020-02-04","1825","1861","1822","1852","32000","1852"
"2020-02-05","1888","1888","1852","1883","19300","1883"
"2020-02-06","1891","1929","1891","1915","44800","1915"
"2020-02-07","1920","1964","1907","1938","83200","1938"
"2020-02-10","1920","1920","1870","1874","39700","1874"
"2020-02-12","1514","1569","1474","1484","887200","1484"
"2020-02-13","1451","1470","1431","1446","314200","1446"
"2020-02-14","1450","1456","1390","1390","305800","1390"
"2020-02-17","1403","1404","1361","1370","142000","1370"
"2020-02-18","1396","1409","1357","1399","105400","1399"
"2020-02-19","1424","1432","1379","1401","146900","1401"
"2020-02-20","1417","1431","1384","1394","136100","1394"
"2020-02-21","1394","1424","1380","1383","132100","1383"
"2020-02-25","1263","1340","1263","1309","164800","1309"
"2020-02-26","1288","1318","1281","1294","105500","1294"
"2020-02-27","1276","1284","1208","1223","177700","1223"
"2020-02-28","1163","1217","1142","1162","246900","1162"
"2020-03-02","1164","1238","1136","1199","151200","1199"
"2020-03-03","1249","1272","1164","1164","137000","1164"
"2020-03-04","1132","1179","1130","1164","68300","1164"
"2020-03-05","1186","1192","1137","1153","70000","1153"
"2020-03-06","1166","1166","1089","1094","94500","1094"
"2020-03-09","1042","1061","1000","1014","121400","1014"
"2020-03-10","993","1046","963","1029","178500","1029"
"2020-03-11","1059","1071","1008","1008","131900","1008"
"2020-03-12","978","1018","951","951","165300","951"
"2020-03-13","850","922","845","922","152600","922"
"2020-03-16","922","944","896","922","107300","922"
"2020-03-17","862","908","840","878","122800","878"
"2020-03-18","910","917","883","886","42600","886"
"2020-03-19","896","903","841","855","173000","855"
"2020-03-23","850","855","810","840","106900","840"
"2020-03-24","862","900","858","897","62500","897"
"2020-03-25","957","970","915","945","104600","945"
"2020-03-26","922","923","876","891","48100","891"
"2020-03-27","913","930","888","915","108700","915"
"2020-03-30","930","930","887","913","49500","913"
"2020-03-31","921","962","915","943","86000","943"
"2020-04-01","943","953","899","904","45500","904"
"2020-04-02","902","924","886","901","53500","901"
"2020-04-03","918","918","850","864","36500","864"
"2020-04-06","849","915","836","900","49700","900"
"2020-04-07","915","977","915","971","56200","971"
"2020-04-08","986","986","942","965","36600","965"
"2020-04-09","985","998","971","985","25600","985"
"2020-04-10","985","985","942","972","29400","972"
"2020-04-13","972","973","936","936","23400","936"
"2020-04-14","938","975","926","975","31600","975"
"2020-04-15","989","989","958","964","22600","964"
"2020-04-16","964","980","955","980","21600","980"
"2020-04-17","995","1017","991","1002","27100","1002"
"2020-04-20","1012","1034","1003","1026","30800","1026"
"2020-04-21","1025","1070","1000","1000","76200","1000"
"2020-04-22","996","998","950","969","54100","969"
"2020-04-23","995","1017","990","1016","26700","1016"
"2020-04-24","1033","1033","972","974","25100","974"
